Designator,Mid X,Mid Y,Layer,Rotation
C1,79,86,Top,270
C2,32,72.5,Top,0
C3,32,74,Top,0
C4,9,90,Top,180
C5,9,70,Top,180
C6,9,50,Top,180
C7,9,30,Top,180
C8,39,70,Top,180
C9,49,70,Top,180
C10,19,70,Top,180
C11,19,50,Top,180
C12,49,60,Top,180
C13,49,40,Top,180
C14,39,10,Top,180
C15,59,10,Top,180
C16,69,20,Top,180
C17,59,70,Top,180
C18,59,30,Top,180
C19,69,50,Top,180
C20,19,30,Top,180
C21,9,10,Top,180
C22,29,20,Top,180
C23,29,40,Top,180
C24,29,60,Top,180
C25,39,50,Top,180
C26,39,30,Top,180
C27,29,10,Top,180
C28,69,70,Top,180
C29,69,30,Top,180
C30,59,20,Top,180
C31,49,10,Top,180
C32,49,30,Top,180
C33,49,20,Top,180
C34,59,40,Top,180
C35,59,50,Top,180
C36,59,60,Top,180
C37,9,80,Top,180
C38,9,60,Top,180
C39,9,40,Top,180
C40,9,20,Top,180
C41,29,70,Top,180
C42,19,60,Top,180
C43,18.736,40,Top,180
C44,19,20,Top,180
C45,19,10,Top,180
C46,29,30,Top,180
C47,39,40,Top,180
C48,29,50,Top,180
C49,39,60,Top,180
C50,69,60,Top,180
C51,69,40,Top,180
C52,84.5,75,Top,270
C53,78.2,71.5,Top,180
C54,39,20,Top,180
C55,82,70,Top,0
C56,49,50,Top,180
C57,69,10,Top,180
C58,0,70,Top,180
C59,61.842,83.765,Top,180
C60,18,85,Top,180
C61,0,60,Top,180
C62,69,86.223,Top,180
C63,0,10,Top,180
C64,0,50,Top,180
C65,69,83.605,Top,180
C66,54.625,86.223,Top,180
C67,0,40,Top,180
C68,0,90,Top,180
C69,54.625,83.605,Top,180
C70,0,20,Top,180
C71,0,80,Top,180
C72,61.842,86.223,Top,180
C73,0,30,Top,180
J1,74,97,Bottom,180
J2,86.891,83.407,Bottom,90
L1,79,75,Top,270
Q2,82,93,Top,0
R1,78,94,Top,0
R2,78,92,Top,0
R3,79,88,Top,270
R4,28,93,Top,180
R5,28.653,87.216,Top,180
R6,50,78,Top,90
R7,50.216,83.765,Top,270
R8,6,93,Top,90
R9,4,93,Top,90
R10,82,67,Top,180
R11,85.5,71,Top,270
R12,82,79,Top,180
S1,55,95,Top,180
U1,82,86,Top,0
U2,40,87,Top,0
U3,5,90,Top,90
U4,5,80,Top,90
U5,5,70,Top,90
U6,5,60,Top,90
U7,5,50,Top,90
U8,5,40,Top,90
U9,5,30,Top,90
U10,5,20,Top,90
U11,5,10,Top,90
U12,15,90,Top,90
U13,15,80,Top,90
U14,15,70,Top,90
U15,15,60,Top,90
U16,15,50,Top,90
U17,15,40,Top,90
U18,15,30,Top,90
U19,15,20,Top,90
U20,15,10,Top,90
U21,21,90,Top,90
U22,21,80,Top,90
U23,25,70,Top,90
U24,25,60,Top,90
U25,25,50,Top,90
U26,25,40,Top,90
U27,25,30,Top,90
U28,25,20,Top,90
U29,25,10,Top,90
U30,28,90,Top,90
U31,28,80,Top,90
U32,35,70,Top,90
U33,35,60,Top,90
U34,35,50,Top,90
U35,35,40,Top,90
U36,35,30,Top,90
U37,35,20,Top,90
U38,35,10,Top,90
U39,52,90,Top,90
U40,52,80,Top,90
U41,45,70,Top,90
U42,45,60,Top,90
U43,45,50,Top,90
U44,45,40,Top,90
U45,45,30,Top,90
U46,45,20,Top,90
U47,45,10,Top,90
U48,59,90,Top,90
U49,59,80,Top,90
U50,55,70,Top,90
U51,55,60,Top,90
U52,55,50,Top,90
U53,55,40,Top,90
U54,55,30,Top,90
U55,55,20,Top,90
U56,55,10,Top,90
U57,65,90,Top,90
U58,65,80,Top,90
U59,65,70,Top,90
U60,65,60,Top,90
U61,65,50,Top,90
U62,65,40,Top,90
U63,65,30,Top,90
U64,65,20,Top,90
U65,65,10,Top,90
U66,75,90,Top,90
U67,75,80,Top,90
U68,75,70,Top,90
U69,75,60,Top,90
U70,75,50,Top,90
U71,75,40,Top,90
U72,75,30,Top,90
U73,75,20,Top,90
U74,75,10,Top,90
U75,82,75,Top,0
U76,27.5,84,Top,90
U77,83.65,36.704,Top,90
